Hourly Year,Year,Month,Day,Day,Houre,Day,Rtot
16-Apr-07,2007,4,16,106,20,106.8,3.01
16-Apr-07,2007,4,16,106,21,106.8,2.93
16-Apr-07,2007,4,16,106,22,106.9,2.84
16-Apr-07,2007,4,16,106,23,106.9,2.92
17-Apr-07,2007,4,17,106,24,107,3
17-Apr-07,2007,4,17,107,1,107,2.88
17-Apr-07,2007,4,17,107,2,107,2.88
17-Apr-07,2007,4,17,107,3,107.1,2.65
17-Apr-07,2007,4,17,107,4,107.1,2.47
17-Apr-07,2007,4,17,107,5,107.2,2.31
17-Apr-07,2007,4,17,107,6,107.2,2.1
17-Apr-07,2007,4,17,107,7,107.3,2.05
17-Apr-07,2007,4,17,107,8,107.3,2.18
17-Apr-07,2007,4,17,107,9,107.3,2.09
17-Apr-07,2007,4,17,107,10,107.4,2.1
17-Apr-07,2007,4,17,107,11,107.4,2
17-Apr-07,2007,4,17,107,12,107.5,2.16
17-Apr-07,2007,4,17,107,13,107.5,2.33
17-Apr-07,2007,4,17,107,14,107.5,2.27
17-Apr-07,2007,4,17,107,15,107.6,2.28
17-Apr-07,2007,4,17,107,16,107.6,2.27
17-Apr-07,2007,4,17,107,17,107.7,2.52
17-Apr-07,2007,4,17,107,18,107.7,2.67
17-Apr-07,2007,4,17,107,19,107.8,2.47
17-Apr-07,2007,4,17,107,20,107.8,2.31
17-Apr-07,2007,4,17,107,21,107.8,2.2
17-Apr-07,2007,4,17,107,22,107.9,2.21
17-Apr-07,2007,4,17,107,23,107.9,2.14
18-Apr-07,2007,4,18,107,24,108,2.14
18-Apr-07,2007,4,18,108,1,108,2.08
18-Apr-07,2007,4,18,108,2,108,1.97
18-Apr-07,2007,4,18,108,3,108.1,1.93
18-Apr-07,2007,4,18,108,4,108.1,1.84
18-Apr-07,2007,4,18,108,5,108.2,1.81
18-Apr-07,2007,4,18,108,6,108.2,1.91
18-Apr-07,2007,4,18,108,7,108.3,1.73
18-Apr-07,2007,4,18,108,8,108.3,1.72
18-Apr-07,2007,4,18,108,9,108.3,1.79
18-Apr-07,2007,4,18,108,10,108.4,1.8
18-Apr-07,2007,4,18,108,11,108.4,1.85
18-Apr-07,2007,4,18,108,12,108.5,1.96
18-Apr-07,2007,4,18,108,13,108.5,1.98
18-Apr-07,2007,4,18,108,14,108.5,2.07
18-Apr-07,2007,4,18,108,15,108.6,2.15
18-Apr-07,2007,4,18,108,16,108.6,2.2
18-Apr-07,2007,4,18,108,17,108.7,2.45
18-Apr-07,2007,4,18,108,18,108.7,2.4
18-Apr-07,2007,4,18,108,19,108.8,9999
18-Apr-07,2007,4,18,108,20,108.8,2.18
18-Apr-07,2007,4,18,108,21,108.8,2.14
18-Apr-07,2007,4,18,108,22,108.9,2.04
18-Apr-07,2007,4,18,108,23,108.9,2.02
19-Apr-07,2007,4,19,108,24,109,1.88
19-Apr-07,2007,4,19,109,1,109,1.86
19-Apr-07,2007,4,19,109,2,109,1.77
19-Apr-07,2007,4,19,109,3,109.1,1.76
19-Apr-07,2007,4,19,109,4,109.1,1.64
19-Apr-07,2007,4,19,109,5,109.2,1.63
19-Apr-07,2007,4,19,109,6,109.2,1.6
19-Apr-07,2007,4,19,109,7,109.3,1.67
19-Apr-07,2007,4,19,109,8,109.3,1.63
19-Apr-07,2007,4,19,109,9,109.3,1.72
19-Apr-07,2007,4,19,109,10,109.4,1.74
19-Apr-07,2007,4,19,109,11,109.4,1.81
19-Apr-07,2007,4,19,109,12,109.5,1.92
19-Apr-07,2007,4,19,109,13,109.5,1.94
19-Apr-07,2007,4,19,109,14,109.5,2.09
19-Apr-07,2007,4,19,109,15,109.6,2.21
19-Apr-07,2007,4,19,109,16,109.6,2.44
19-Apr-07,2007,4,19,109,17,109.7,2.4
